Nid,Original ID,Name,Project acronym,Visual,Project description,Results,Coordinators,Partners,Project address(es),Project postal code(s),Project town(s),Project country(ies),Project location latitude,Project location longitude,Link to a video,Timeframe start,Timeframe end,Project webpage,Related links,EU Budget MFF heading,Programme name,Funding area,EC’s priorities,EU Budget contribution,Total project budget,Author,Language
2179,,Conflict Zones | Zones de Conflit,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/web_masterclass-mo.jpg,"<p>'Conflict Zones | Zones de Conflit' aims to explore the conflicts that have been shaping European surroundings, moves and thoughts ever since the beginning of the Great War. The coordinating organisation behind the project is UTE, a network of European theatres, which operates on a European scale. <span class=""value"">A programme of artistic events tackling the theme of conflict zones took place all across Europe in the context of international festivals and showcases.</span><br /> </p>","Creation of an online 'Theatre Journal', providing articles (in original language and English) written by young journalists working across Europe.Publication of two research-studies on the state of theatrical affairs.General Assemblies, project-development meetings, public meetings to reflect on important topics regarding the European Theatre sector, conferences on the structures of public theatres in Europe and the Mediterranean.Think-tanks (for stage directors, playwrights, journalists), meetings of young spectators and artistic residency programmes. ",UTE (Union des Théâtres de l'Europe),,Boulevard Lenine 1,93000,Bobigny,FR,48.9065534,2.4396661,,1388530800 to 1420066800,1388530800 to 1420066800,http://www.union-theatres-europe.eu/UNIQ145269632704350/conflict_zones__zones_de_conflit,"<a href=""http://ec.europa.eu/programmes/creative-europe/projects/ce-project-details-page/?nodeRef=workspace%3A//SpacesStore/78779f45-3b16-4da5-82fb-2e04dc54e8f0"">Creative Europe Project Results Platform</a>;<a href=""https://vimeo.com/142148898"">Video of the Mastercalss in Moscow</a>",Security and citizenship,Creative Europe,Migration;Citizens and social dialogue,Migration,250000,,DG EAC,English
2180,,Take Care Project: Healthcare Language Guide for Migrants,,,"<p>The project aimed to:</p>
<ul><li>Help migrants to improve their knowledge about health matters in the language of their host country.</li>
<li>Make health care more accessible for migrants and improve their integration.</li>
<li>Create a Europe-wide network of associated partners such as migrant communities, (volunteer) organisations supporting the integration and welfare of migrants, adult educational institutes, and health care providers, in order to provide them with innovative learning materials and methods.</li>
<li>Contribute to intercultural communication.</li>
</ul>","The main project product is a 'Healthcare Language Guide for Migrants' containing:A language learning phrase book (in Bulgarian, Dutch, English, German, Greek, Lithuanian, Portuguese, Romanian and Spanish).A glossary in 17 languages.Necessary information on the national health care system in each partner country.A basic language emergency kit for healthcare providers.The developed materials are used for trainings for organisations and institutions responsible for the integration of migrants and also for providing short language courses for migrants.",Cooperatieve vereniging Pressure Line UA,BG; DE; ES; PT; CY; LT; RO,Provenierssingel 71b,3033 EH,Rotterdam,NL,51.9269303,4.4676023,,1325372400 to 1388530800,1325372400 to 1388530800,http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/c947000a-aeec-4dd0-b33c-cb6cf0d88c67,,Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,298719,,DG EAC,English
2181,,Migration and Sports - a Challenge for Sports Associations and Trainers,,,"<p><span class=""value"">The integration of migrants in sport associations - teams and social events, during victory and loss, planning of common activities - is very often not only a language but also an intercultural challenge. </span>This challenge could be mastered if the persons responsible would have more experience and knowledge about intercultural issues. Hence, the main aim of this project was to exchange experiences and best practises in the field of integration of migrants through sports.</p>
<p> </p>","Identification of intercultural competences and training needs.Collection of good practice examples, which led to practical guidelines and recommendations for trainers and sports associations in the field of integration.Project website.Public final conference presenting the project results in Austria/Styria/Graz with over 50 participants from eight nations (AT, BA, IT, HR, LT, PL, PT, UK).","Amt der Steiermärkischen Landesregierung, Abt 12 Wirtschaft, Tourismus, Sport","National Olympic Committee of Croatia, HR; Coni Comitato Olimpico Nazionale - Sudtirol, IT; Associação de Futebol Amador de Lousada, PT; CVS Broxbourne and East Herts, UK",Jahngasse 1,1050,Wien,AT,48.1852292,16.3614677,,1325372400 to 1388530800,1325372400 to 1388530800,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/b93bb585-f2b2-4609-95a0-54b39a4e93dd"">Erasmus+ Project Results Platform</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,24000,,DG EAC,English
2182,,Promote diversity and fight against discrimination in the labour market,,,"<p>This project developed strategies for enhancing the integration of young migrants and migrant women into national labour markets. Its two main activities were:</p>
<ul><li>trainings for groups of qualified young migrants and low-qualified immigrant women, to increase their consciousness of discrimination risks and their capacity to react. </li>
<li>mentoring for professionals supporting migrants' professional inclusion, or for potential employers, to allow them to take into account the difficulties faced by the target groups when trying to access the labour market.</li>
</ul>","Newsletters, programmes and minutes of European meetings, programmes and minutes of activities (including training activities and mentoring), a final publication.",Environnement Développement Action Europe,"Institut de recherche et d'information sur le volontariat Conseil, FR; Stiftung ECAP Schweiz, CH; Instituto per l'Europa Centro-Orientale e Balcanica, IT; bildungsmarkt e.v., DE; Centre Immigration et integration, BG",Rue des Immeubles industriels 5,75011,Paris,FR,48.8493675,2.3927157,,1356994800 to 1420066800,1356994800 to 1420066800,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/ed64b7a2-2a46-4707-b162-862e320d2869"">Erasmus+ Project Results Platform</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,282116,,DG EAC,English
2183,,VALBUK: Valuing prior learning and building qualifications in the cleaning sector,,,"<p>In the majority of EU countries, data on access to lifelong learning and unemployment provide clear evidence of risks of exclusion caused by the lack of a recognised qualification. Migrants are over-represented amongst groups at risk of exclusion, due to the low level of recognition of learning outcomes and qualifications achieved in their countries of origin, to difficulties encountered in finding an apprenticeship, and to the complexity and rigidity of qualification pathways enabling adults recovery of an initial VET qualification.</p>","The project aimed at implementing and using ECVET (The European Credit system for Vocational Education and Training) principles in order to facilitate access to lifelong learning and qualifications of migrant workers. The project addressed a specific and emblematic sector – defined by the occupations included in the area of cleaning services in which many not qualified migrants (especially women) actually work both in Switzerland and all over Europe. From this point of view the project reached results of the utmost importance for all the partner countries, contributing at enhancing transparency and access to lifelong learning at EU level.The project:Facilitated the understanding and application of ECVET by VET stakeholders in Switzerland and in the partner countries.Identified and tested practical solutions intended to facilitate the development of innovative practices in Vocational Education and Training, using ECVET and validation of non-formal and informal learning.Developed and disseminated strategies and approaches coherent with the above mentioned framework, valuing a powerful model - VQTS - developed in Austria and actually used in many EU projects as a benchmark for implementing ECVET principles.Adopted the VQTS Matrix in order to compare existing qualifications in the cleaning services sector, defined a shared competence Matrix declined in units of learning outcomes (areas of competences).Defined and tested the Guidelines, and related procedures, for the completion of a flexible and modular qualification pathway based on the Matrix.Developed operational partnerships involving stakeholders and key actors of the above mentioned sector, in order to test and consolidate the achievements, raising awareness of ECVET potentialities.",Stiftung Ecap Schweiz,CH; SI; DE; NL; FR; IT; AT; CH; CH,Neugasse 116,8031,Zürich,CH,47.3841985,8.5265156,,1325372400 to 1420066800,1325372400 to 1420066800,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/68f5f3e8-ea8a-4acd-8ea6-44c34d306811"">Erasmus+ Project Results Platform</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,231466,,DG EAC,English
2184,,Join in a Job!,,,"<p style=""text-align:justify"">This project aims to identify barriers for young migrants, especially young women, and to (re-)integrate them into the labour market by transferring and adapting the 'Join in a Job!' method to requirements existing in the various partner countries (Austria, Germany, Ire­land, Italy and Poland).</p>","Join in a Job! contains a career guidance method set, developed specially for working with young migrants. A resource and compe­tence oriented process combines questionnai­res and diagnostic tools to guide clients on their way to a job or further education:Basic Information: a collection of background information to support a qualified use of the intercultural career guidance method, some checklists for practitioners to assure quality during the process and a more detailed report on the national situation.Initial Assessment: method (structured questionnaire) for initial clarification of the support required.Intense Assessment: set of techniques for detailed clarification of support level required combined with comprehensive questionnaires and tools.Info & Links: database with useful addresses and links for young job seekers with migration background.Job Box: tool to value, describe and document competences and to develop career prospects and application strategies.Case Management: basic information about case management and a database for guidance officers in consideration of migration-specific addresses in each partner country.Workplace Material: provides checklists for young migrants in job interviews and guidelines for employers. For those already integrated in the labour market, there are also a handful of templates aiming to support further development (on the job).",Hafelekar Unternehmensberatung,"Academy of Management / Spoleczna Wyzsza Szkola Przedsiebiorczoci I Zarzadzania, PL; Ballymun Job Centre, IE; BBQ Berufliche Bildung GmbH, DE; COOSS MARCHE ONLUS Cooperativa Sociale, IT; ZeMit – Centre for migrants in Tyrol, AT; Verein Multikulturell, AT",Bozner Platz 5,6020,Innsbruck,AT,47.2647095,11.3959768,,1199142000 to 1293836400,1199142000 to 1293836400,http://hafelekar.at/en/11-eu-projekte/213-join-in-a-job-en,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/7520642d-0593-4ee6-875d-a4739d638f98"">Erasmus+ Project Results Platform </a>;<a href=""http://hafelekar.at/CD_JIJ/main.html"">A career guidance method for migrants</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,222978,,DG EAC,English
2185,,Coach for Entrepreneurial Opportunies (C-EO),,,"<p>Entrepreneurship is an important way to create economic growth and strengthen a society. Hence, it is important to support demographic groups, like <span class=""value"">young people, women, disabled and/or migrants</span>, which are underrepresented <span class=""value"">among the entrepreneurial population</span>. <span class=""value"">Coach for Entrepreneurial opportunities (C-EO) intend to pave pathways corresponding to the needs of these different groups, their expectations and their norms.</span><br /> </p>","Based on an extended inventory the project analysed the national legislation, training and educational programs and facilities for upcoming entrepreneurs. Apart from constructing a profile of the 'Entrepreneurial Coach' and developing a training for Entrepreneurial Coaches, the partnership of C-EO developed an Entrepreneurial Passport and a web tool for the target group of unemployed, senior workers and youngsters.",Stichting Kenniscentrum Handel (KCH International),,Horapark 3,6717 LZ,Ede,NL,52.0205244,5.672731,,1356994800 to 1420066800,1356994800 to 1420066800,http://www.kch.nl,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/36ca6ea1-b6d1-4cc1-8ff7-8a746eab9805"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,273664,,DG EAC,English
2187,,Zoom2Choose,,,"<p>Zoom2Choose is an educational aid to help pupils, trainees and learners with limited opportunities choose a career. Its aim is to provide a large amount of information to career guidance professionals, who work with young people. The information will help the targeted groups to focus on the various sectors available and also extend their perspectives by making them realise how they represent the different jobs.</p>",Results included a computer application for young people and a teacher's guide for professionals.,Gip - Education et formation tout au long de la vie,"BEST Institut für berufsbezogene Weiterbildung und Personaltraining GMbH, AT; Euro Cordiale a.s.b.l., LU; Ecole de la deuxième Chance, FR; ONG Union des femmes de la région du Danube, BG; Action Locale pour Jeunes, LU; Greta du Velay, FR",17 boulevard de la paix,51100,Reims,FR,49.2542175,4.0388703,,1293836400 to 1356994800,1293836400 to 1356994800,http://www.euro-cordiale.lu/zoom2choose,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/a63aa344-b016-410b-849f-f0ce51d57f5b"">Erasmus+ Project Results Platform</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,203992,,DG EAC,English
2188,,Portfolio of Integration,,,"<p>'Portfolio of Integration' is a transnational project funded by the European Commission through the Lifelong Learning Programme (LLP). The project offers the adaptation of a migrant pupils observation instrument called the 'Book of Integration', designed by Oxfam Italia and previously tested in Italy by many Educational and Local Authorities. <span lang=""EN-GB"" xml:lang=""EN-GB"">The project involves five institutions from five different European countries: Italy, Poland, Greece, Turkey and the United Kingdom.</span></p>","The project provided a revised version of the 'Book of Integration', adapted to different European contexts, in collaboration with some 60 teachers from four European countries. The tool was tested with approximately 1200 students.",Oxfam Italia,"University Of Glasgow, UK; Clarus Advisory Services, EL; Izmit Ilce Milli Egitim Mudurlugu, TR; Wyższa Szkoła Biznesu I Nauk O Zdrowiu, PL",Via Concino Concini 19,52100,Arezzo,IT,43.461732,11.861324,,1293836400 to 1356994800,1293836400 to 1356994800,http://www.poiproject.org,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/3190a144-875b-4206-b7a9-886f768ca471"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,193209,257613,DG EAC,English
2189,,Counselling immigrants in vocational education and training (CIVET),,,"<p>As the population ages over the upcoming years, the supply of labour will decrease. Meanwhile, the number of migrants in European countries is increasing. Migrants with vocational qualifications and adequate language skills are needed in the labour market. The 'Counselling immigrants in vocational education and training' project focuses on giving education providers a wide experience of learning techniques and methodologies to better assist immigrants to improve their skills.</p>","The main result of the 'Counselling immigrants in vocational education and training' project is an intercultural training model for vocational teachers/trainers and workplace instructors. A tangible outcome of the project is a guidebook for intercultural counselling and support which includes four parts: Introduction, Intercultural Competence, Simplified Language and Intercultural Counselling.The main impact of the project is that the vocational teachers/trainers and workplace instructors have more competence in counselling migrants in work-based learning situations. The impact on end-users, i. e. migrant learners, is that their motivation for vocational studies and learning a second language increase.",Kotkan - Haminan Seudun Koulutuskuntayhtymä / Etelä-Kymenlaakson Ammattiopisto,,Kymenlaaksonkatu 29,48100,Kotka,FI,60.459464,26.932814,,1293836400 to 1356994800,1293836400 to 1356994800,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/4741dcc0-c111-4186-a5a6-3394fc0d01a7"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,174717,,DG EAC,English
2190,,On Stage - Empowering young migrants through biographic work and elements of drama,,,"<p>Unemployment figures for young people in Europe are alarmingly high, particularly for migrants. Young migrants generally show higher school drop-out rates, lower participation in higher/further education and get less access to high-profile jobs. This makes their economic and social inclusion more difficult. The project uses educational concepts focused on the empowerment of young migrants through the use of their particular situation/migration background for efficient, practical, motivational and joyful acquisition of skills, which will help them find employment.</p>","The On Stage project empowers young migrants to improve their employment opportunities through biographic work and elements of drama. Partners from Norway, Portugal, Spain, Greece and Austria pool together their proven knowledge and expertise in order to provide a Handbook aimed at VET trainers and counselors, a Practice Set, an ECVET Kit and several organised Workshops for Youngsters On Stage, thereby ensuring a successful completion of this exciting project.",Stiftelsen Rogaland Kurs og Kompetansesenter,AT; EL; ES; NO; PT,Arkitekt Eckhoffsgate 1,4010,Stavanger,NO,58.964454,5.733802,,1356994800 to 1420066800,1356994800 to 1420066800,http://www.onstage-project.eu,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/ae7b330b-253e-435d-b24e-362e460566b3"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,298056,,DG EAC,English
2191,,Migrants Access to Vocational Education Networks,,,"<p>MAVEN is a Leonardo Partnership project, under the Life Long Learning Programme, whose aim is to promote an improved access to Vocational Education and Training for migrant and minority communities. The MAVEN project brings together a range of partners, from seven countries,  with a common background in direct support of minorities and migrants. All partners have very strong links to migrant and minority communities in their local areas and aspire to capture the ideas and recommendations of minority/migrant learners in the VET systems.</p>",Publicity leafletVideoMaven Facebook groupEvaluation of the participants in the coursesPosters 'Cursos proyecto Maven'Presentation of the results of MAVENWebsiteStory bookHandbookCataloguePhoto exhibition,Point Europa,"CESIE-Centro Studi Ed Iniziative Europeo, IT; ASociacion Cultural y Deportiva La Hoya, ES; ""Fekete Sereg"" Ifjúsági Egyesület, HU; Cubic-Cultur und bildung im Context, AT; France Amerique Latine, FR; Youth Development and Integration Association STRIM, PL",W Quay,,Cornwall,UK,50.347848,-4.215743,,1262300400 to 1325372400,1262300400 to 1325372400,http://maven2011.wordpress.com,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/787d0522-d1b7-4bf6-b349-6144708a56bb"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,20000,,DG EAC,English
2192,,Integration of refugees into the European educational and labour market: target-oriented approach,,,"<p>In recent years, legal parameters have been created for a partial opening of the educational and labour markets for refugees and asylum seekers in the EU, enabling their integration into the employment system. Combining intercultural and lifelong learning approaches, this project investigates whether local, national and European education and employment market policies allow the integration of refugees, using their transnational biography as resource. The project analyses educational and employment paths in different EU countries.</p>
<p> </p>","The goal of this project was to develop innovative and transferable solutions which will accelerate the opening up of basic education, language education, trainings and higher education systems to refugees, thus enabling their effective participation to a lifelong learning process. In each of the project locations, local VET-policies and structural barriers were exchanged and analysed. With regard to the objectives of the Leonardo da Vinci programme, the project focused on the improvement of the quality of vocational education and training systems, institutions and practices.Practical results:Reports created by the cities of Florence, Glasgow, Hamburg and Gothenburg.Refugee monitoring concept discussed.Launched refugee monitoring in Hamburg.Made recommendations on European level.Organised roundtables for vocational integration of refugees and asylum-seekers in Hamburg.","University of applied sciences, Germany","Passage gGmbH, DE; Anniesland Research Consultancy Limited, UK; Ergomathisi SA, EL; COSPE - Cooperazione per lo Sviluppo dei Paesi Emergenti, IT",Berliner Tor 5,20099,Hamburg,DE,53.55591,10.023634,,1262300400 to 1325372400,1262300400 to 1325372400,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/81f5739f-41d9-4b92-9305-39572a7b6946"">Erasmus+ Project Results Platform</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,18000,,DG EAC,English
2193,,Back to Work - Counseling returning migrants and unemployed,,,"<p>The aim of the Back to Work project was to develop useful and easy-to-use counseling instruments that would facilitate the validation of prior learning outcomes in order to better match needs and competencies on the labour market. Other objectives were to enable employment counselors, NGO representatives and assessors in assessment centres to use these instruments and to permit an exchange of best practices in the field of validation of prior learning outcomes and counseling services for unemployed between the partner countries.</p>","Six national reports regarding the needs of counselors in the validation and evaluation field and the needs of unemployed people, especially migrants. One common report based on the six national reports.DVD with miniclips.Counseling instrument (EN, GR, RO, DK, DE, BG).User guide (EN, GR, RO, DK, DE, BG).Online testing report.Offline testing report.Leaflets and postcards with information about the project.  ",Romanian Institute for Adult Education,"German Institute for Adult Education, DE; Nationalt Videncenter for Realkompetence, DK; Merseyside Expanding Horizons Ltd, UK; European Centre for Education&Training, BG; Romanian Forum for Refugees&Migrants, RO; Aristotle University of Thessaloniki, EL",Calea Bogdanestilor 32A,300389,Timisoara,RO,45.758153,21.207603,,1293836400 to 1356994800,1293836400 to 1356994800,http://www.backwork.eu/,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/0ac8d3fd-4e46-4383-9099-6ae00c30a1f5"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,201191,,DG EAC,English
2194,,Migrapass - a portfolio and support for migrants,,,"<p>The Migrapass project proposes a tool and a method, a portfolio and a collaborative training to help migrants understand the value of their backgrounds and to help them promote themselves on the labour market and in their professional careers. It is based on identifying knowledge and competences gained through their different backgrounds and experiences. Giving value to people's competences is a way to enhance their professional and social integration.</p>","Through the project the following material was created: The MIGRAPASS portfolio, a complete tutor guide, an accompanying module for tutors, Migrapass Film.",Autremonde,"New Bulgarian University, BG; University of Roehampton, UK; Institut de Recherche et d'Information sur le Volontariat- Conseil, FR; Oikodrom - The Vienna Institute for Urban SustainabilityAT; Universidad de Burgos. ES",30 rue de la mare,75020,Paris,FR,48.870407,2.389447,,1262300400 to 1356994800,1262300400 to 1356994800,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/4ff03ea7-c0a4-4bda-a4dc-da9f98f6b1cc"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,255141,,DG EAC,English
2195,,Individualized Training in Acquiring New Skills and Raising Employment Competences,,,"<p style=""text-align:justify"">This project provides integrated support tailored to the needs of the most disadvantaged groups of unemployed in the context of the global economic crisis. The project consortium included seven organisations from seven countries – United Kingdom, Bulgaria, Iceland, France, Lithuania, Hungary and Portugal. The partnership included international universities, research centers, training and counselling organisations.</p>","The project has developed an innovative integrated training tool in order to increase motivation and self-awareness, create incentives for acquiring the new skills demanded on the labour market, improve job competencies, and thus promote efficient reintegration of jobseekers into employment.The INSIGHT kit includes:Handbook for unemployedGuide for trainers of unemployedThe Insight Interactive Exercises website",Europartnership Agency Ltd,IS; HU; BG; PT; FR; LT,Tamar Science Park 1 Davy Road,,Plymouth,UK,50.4176172,-4.1088537,,1293836400 to 1356994800,1293836400 to 1356994800,http://www.insight-training.eu/,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/b12c122d-d3e0-4e20-a44c-8ff1944fadc3"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,288952,,DG EAC,English
2196,,Clarity,,,<p>Clarity was a two-year project with seven partners. The objective of the project was to directly help employers design and implement a basic workplace training which would be practical and easily apprehensible to non-native speakers.</p>,The project has created new training resources to support basic work-related training in migrants' own languages. This allows training centres to do the following:Train a small number of migrants to become trainers in their own languages.Translate existing training courses into the migrant languages and deliver them.Use the concepts and structure to deliver own-language basic training in more languages and more workplaces.,Point Europa,"Volkshilfe Steiermark, AT; CESIE, IT; Trebag, HU; Pistes-Solidaire, FR; Fundatia Centrul Educational Soros, RO; INIT Developments, DE",The Manse Garrett Street Cawsand,,,UK,50.3324062,-4.2009914,,1230764400 to 1293836400,1230764400 to 1293836400,http://www.clarity-project.org,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/d431dc48-1f6c-46a8-85d5-b768ee2c8d0a"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,220847,,DG EAC,English
2197,,Feel Like a Migrant - Multicultural approach in teaching,,,"<p>This project aims to help learning and development professionals assimilate a multicultural approach in teaching. The integration of refugees presents a special challenge as it is a complex and long-term process. Especially teachers, trainers and other educational staff, who have the chance to build a more personal contact with refugees in their everyday working life, are in need of a customised plan and the right materials in order to develop the necessary teaching skills and better meet the educational needs of their audience.</p>","Pilot workshops for trainers, teachers and education staff working with migrants in AT, ES, FR, UK.Handbook (curriculum and tools) for trainers, teachers and education staff working with migrants including teaching materials, tools and detailed descriptions of the modular curriculum in the following languages: EN, DE, FR, ES, RO.An internet website platform enabling communication among partners and consisting of achieved project outcomes including the handbook with teaching materials.Publications about project activities and foreseen results in the national languages of the partners + English version.Dissemination seminars (demonstration events) focusing on dissemination of the activities of the project and the foreseen results in DE, FR, RO, ES, UK.Multiplier conference for all project partners and other EU countries not directly participating in the project.","Volkshochschule im Landkreis Cham e.v, Germany","Carpathian Foundation, RO; Irfa Sud - Institut Regional De Formation Des Adultes, FR; Anniesland Research Consultancy Limited, UK; Prodiverse Uk Ltd, UK; Instituto Municipal De Formacion Y Empleo, ES; Best Gmbh, ES",Pfarrer-Seidl-Strasse 1,93413,Cham,DE,49.2262109,12.657848,,1199142000 to 1262300400,1199142000 to 1262300400,http://www.flam-project.eu/,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/d62b128b-a12b-436c-be66-59eafad32090"">Erasmus+ Project Results Platform </a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,298240,,DG EAC,English
2198,,Training on Psycho-Social Needs of Refugees,,,<p>The 'Training on Psycho-Social Needs of Refugees' project's aim was to improve the learning and development of professionals dealing with refugees. The project offered participating institutions and human rights activists the opportunity to share experiences and knowledge on how to best handle the complex emotional and psychological state of people in migration.</p>,"After the completion of this training and taking use of the further readings, the learner is expected to:be able to recognize the psychosocial needs of refugees.improve his or her practical work with refugees.consider at what level (individual, family and community) interventions may be most appropriate and why.consider culturally contextual intervention strategies in determining how to best support forced migrants.acknowledge ways in which one's cultural biases may limit effectiveness.understand how the psychosocial needs of forced migration may differ in some ways from the needs of other vulnerable populations.",Insan Haklari Arastirma Dernegi,"IMIR Institut für Migrations- und Rassismusforschung e.V. - IMIR, DE; CEIPES Centro Internazionale per la Promozione Educazione e Sviluppo, IT; Respect Refugees Europe, ES",Kızılay Necatibey Cad. 34/14,6420,Ankara,TR,39.9249575,32.8520618,,1199142000 to 1293836400,1199142000 to 1293836400,http://www.psycho-socialneedsofrefugees.eu/,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/7fe70e97-2df9-4e0d-89dd-94f882834769"">Erasmus+ Project Results Platform </a>;<a href=""https://est.ua.gov.tr/product_show.php?id_project=2008-1-TR1-GRU06-02961-1&id_product=2"">Project Curriculum</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,16500,,DG EAC,English
2199,,M3 = Migrants - Minorities - Mobilities,,,"<p>M3 involved participants from migrant and minority backgrounds. The project aimed to increase the knowledge and understanding between people from different cultures and/or people working in multicultural surroundings, as well as to enhance the inter-cultural dialogue in mono-cultural environments. The participants were also given an idea of the skills required for inter-cultural youth work.</p>","Thanks to the M3 project, a diverse range of educational activities was provided which supported individual development, reinforced cultural diversity and promoted inter-cultural and inter-religious dialogue. Observations, ideas and recommendations provided by the project participants were collected and discussed by the involved organisations in the partner countries. At a local level, several different initiatives such as art exhibitions, movie festivals, theatre, various trainings, and support guides for migrants were implemented and carried out.","Cubic - Cultur und Bildung im Context, Austria","Point Europa Ltd, UK; France Amerique Latine, FR; Fekete Sereg Ifjusagi Egyesulet, HU; Centro Studi ed Iniziative Europeo CE.S.I.E, IT; Stowarzyszenie Rozwoju i Integracji Młodzieży STRIM, PL; ACD La Hoya, ES",Bäckerbühelgasse 5,6020,Innsbruck,AT,47.2735295,11.3920776,,1199142000 to 1262300400,1199142000 to 1262300400,,"<a href=""http://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details-page/?nodeRef=workspace%3A//SpacesStore/b06ad15d-b901-49f0-ae0b-27088e60b2b8"">Erasmus+ Project Results Platform</a>;<a href=""http://www.cubic-online.eu/"">CUBIC - Cultur & Bildung im Context</a>",Smart and Inclusive Growth: Competitiveness for growth and jobs,Lifelong Learning,Education & training;Migration,Migration,17000,,DG EAC,English
